kernel,clang,gcc,nvc,intel,Compiler,Cluster,thread_per_core,core_per_socket,num_sockets,cpu_clock,l1i,l1d,l2,l3,gpu_name,connector_bandwidth,memory_clock,memory_bandwidth,memory_total,sm_clock,num_cores,compute_capability,threads_per_wrap,max_wraps_per_sm,max_threads_per_sm,max_thread_blocks_per_sm,max_32-bit_registers_per_sm,max_registers_per_block,max_registers_per_thread,max_thread_block_size,shared_memory_size_per_sm,collapse1,collapse2,collapse3,collapse4,static,dynamic,guided,Iter,VarDecl,refExpr,intLiteral,floatLiteral,mem_to,mem_from,add_sub_int,add_sub_float,mul_int,mul_float,div_int,div_float,bit_rel_logic_int,bit_rel_logic_float,rem_int,assign_int,assign_float,Iter_log,VarDecl_log,refExpr_log,intLiteral_log,floatLiteral_log,mem_to_log,mem_from_log,add_sub_int_log,add_sub_float_log,mul_int_log,mul_float_log,div_int_log,div_float_log,bit_rel_logic_int_log,bit_rel_logic_float_log,rem_int_log,assign_int_log,assign_float_log,runtime
ookami_wilson_dslash_collapse1_static,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,1,0,0,0,1,0,0,0,1,4294967292,2147483647,0,0,0,2147483646,0,0,0,0,0,2147483646,0,0,0,0,0,0.000000,9.632960,9.331930,0,0,0,9.331930,0,0,0,0,0,9.331930,0,0,0,0,36167
ookami_wilson_dslash_collapse1_static,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,1,0,0,0,1,0,0,0,1,4294967292,2147483647,0,0,0,2147483646,0,0,0,0,0,2147483646,0,0,0,0,0,0.000000,9.632960,9.331930,0,0,0,9.331930,0,0,0,0,0,9.331930,0,0,0,0,36423
ookami_wilson_dslash_collapse2_static,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10458
ookami_wilson_dslash_collapse2_static,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10623
ookami_wilson_dslash_collapse1_dynamic,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,1,0,0,0,0,1,0,0,1,4294967292,2147483647,0,0,0,2147483646,0,0,0,0,0,2147483646,0,0,0,0,0,0.000000,9.632960,9.331930,0,0,0,9.331930,0,0,0,0,0,9.331930,0,0,0,0,225545
ookami_wilson_dslash_collapse1_dynamic,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,1,0,0,0,0,1,0,0,1,4294967292,2147483647,0,0,0,2147483646,0,0,0,0,0,2147483646,0,0,0,0,0,0.000000,9.632960,9.331930,0,0,0,9.331930,0,0,0,0,0,9.331930,0,0,0,0,235491
ookami_wilson_dslash_collapse2_dynamic,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120706
ookami_wilson_dslash_collapse2_dynamic,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123005
ookami_wilson_dslash_collapse1_guided,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,1,0,0,0,0,0,1,0,1,4294967292,2147483647,0,0,0,2147483646,0,0,0,0,0,2147483646,0,0,0,0,0,0.000000,9.632960,9.331930,0,0,0,9.331930,0,0,0,0,0,9.331930,0,0,0,0,219329
ookami_wilson_dslash_collapse1_guided,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,1,0,0,0,0,0,1,0,1,4294967292,2147483647,0,0,0,2147483646,0,0,0,0,0,2147483646,0,0,0,0,0,0.000000,9.632960,9.331930,0,0,0,9.331930,0,0,0,0,0,9.331930,0,0,0,0,222930
